English Word/Phrase,Ukrainian Translation,Lesson
preferential treatment,привілейоване ставлення,General
resentment,образа (обурення),Psychology
deceptive tactics,обманна тактика,Communication
deception,шахрайство (обман),General
turnover,оборот (кадровий склад),Business
employee turnover,кадрова плинність,Business
distinct,чіткий (виразний/відмінний),General
Cats and dogs are distinct species,Коти і собаки - це різні види,Examples
peer,рівний за статусом (колега),Work
predetermined,заздалезідь визначений,General
The outcome of the match seemed predetermined,Результат матчу видавався наперед визначеним,Examples
align,узгоджувати (вирівнювати),General
Please align the text to left,Будь ласка вирівняйте текст по лівому краю,Examples
vitally,життєво (важливо),General
needed,необхідно,General
important,важливо,General
useful,корисно,General
relevant,надзвичайно важливо (актуально),General
significant,надзвичайно важливий,General
widely accepted,широко визнаний,General
widely available,широко доступний,General
widely used,широко використовується,General
widely known,широко відомий,General
badly trained,недостатньо підготовлений,Work
badly mistaken,сильно помилитися,General
badly designed,погано спроектований,General
badly organised,погано організований,General
fully involved,повністю залучений,General
fully engaged,повністю зайнятий,General
fully supported,повністю підтримується,General
fully aware,цілком усвідомлює,General
The inability to pay by card in public places is utterly ridiculous,Неможливість розрахуватися карткою в громадських місцях - це повний абсурд,Examples
utterly ridiculous,цілком безглуздо,Phrases
I'm deeply honored to receive this award,Мені дуже приємно отримати цю нагороду,Examples
The topic is vitally relevant to today's global challenges,Ця тема є життєво важливою для сучасних глобальних викликів,Examples
undermine their subordinates,підривати своїх підлеглих,Leadership
inevitable,неминучий,General
resolve,розв'язувати (допомагати),General
forthcoming,найближчий (що наближається),General
bound to make a mistake,неминуче зробити помилку,General
scrutinize every detail,уважно розглядати кожну деталь,General
evade,уникати,General
When you rush through things you're bound to make a mistake,Коли ви поспішаєте ви обов'язково помилитеся,Examples
bound to do smt,бути зобов'язаним щось зробити,General
bound,обмежений,General
morale,дух (моральний стан),General
moral,мораль,General
I wish I had followed my dreams,як шкода що я не пішов за своїми мріями,Personal
I should have followed my dreams,мені варто було піти за своїми мріями,Personal
If only I had followed my dreams,якби тільки я пішов за своїми мріями,Personal
If I had followed my dreams things could/might/would have been different,Яби я пішов за мріями все могло б бути інакше,Personal
I wish I was there,як шкода що мене там немає (тепер),Personal
worry about trivial things,хвилюватися через дрібниці,General
liberating,визвольний (той що надає свободу),General
I found myself thinking,я спіймав себе на думці,Personal
devastatingly honest,жахливо чесний,General
light-hearted response,легковажна відповідь,General
to emerge/appear,з'явитися,General
deep sorrow,глибокий сум,Psychology
high up the list,високо в списку (пріоритетний),General
it let me disadvantaged,це поставило мене у невигідне становище,Personal
live up to my potential,реалізувати свій потенціал,Personal
ended up having their heart broken,закінчилося розбитим серцем,Personal
possibility of rejection,можливість відмови,Psychology
leads to an unfulfilled life,призводить до нереалізованого життя (життя без здійснення мрій),Personal
massively excited about it,дуже збуджений (схвильований) цим,General
choosing career over family,вибір кар'єри замість сім'ї,Life Choices
If you don't prioritize your life someone else will,якщо ви не розставите пріоритети у своєму житті це зробить хтось інший,Life Lessons
reckless spending,марнотратство (безрозсудні витрати),Finance
It was reckless decision,це було безрозсудне рішення,General
doubts = second thoughts,сумніви,Psychology
capture the moment,зафіксувати момент,General
cherish the moment,цінувати момент,General
seize the moment,ловити момент (скористатися моментом),General
savor the moment,смакувати момент (насолоджуватися моментом),General
grudge,образа (злопам'ятність/неприємні відчуття),Psychology
have a grudge against her,мати образу на неї,Psychology
she grudged every penny spent on him,їй було шкода кожної копійки витраченої на нього,Finance
creep,повзти (крастися/моторошна людина),General
have/hold a grudge,мати/тримати образу,Psychology
bear/carry a grudge,нести образу,Psychology
personal grudge,особиста образа,Psychology
long-standing grudge,давня образа,Psychology
midst,середина (в самому центрі),General
grueling,виснажливий (вбивчий),Work
reminiscing,ностальгічні спогади (згадування),Psychology
reminisce,згадувати (згадувати минуле з приємністю),Psychology
decent,гідний (пристойний/добрий),General
to clarify,уточнити (прояснити),Communication
grow tormented,все більше мучитися (ставати розтерзаним),Psychology
profound,глибокий (значний/серйоний),General
remorse,каяття (муки сумління),Psychology
the takeaway here,висновок (головна думка),General
don't see eye to eye,не сходитися у поглядах (не поділяти думку),Phrases
have an issue,мати проблему (претензію),General
contradict,заперечувати (суперечити),General
clash with,конфліктувати (суперечити/не узгоджуватися з),General
gang up on,об'єднатися против когось (напасти гуртом),Social Issues
intervene,втручатися (виступати за),Social Issues
back down,відступити (здатися),Phrases
pick a fight,затіяти бійку (провокувати конфлікт),Phrases
find a compromise,знайти компроміс,General
underlying issue,прихована (глибинна) проблема,General
pushover,м'якотілий (той ким маніпулюють),Personality
to snap,зірватися емоційно (втратити самоконтроль),Psychology
mob/herd mentality,стадне мислення (менталітет натовпу),Sociology
lack of accountability,відсутність відповідальності,Leadership
get irritated,дратуватися,Psychology
anger quickly gets out of hand,гнів швидко виходить з-під контролю,Psychology
to be impervious to normal emotions,невразливий до нормальних емоцій,Psychology
unleash fury,випустити лють,Psychology
engage in a conflict,вступити в конфлікт,Phrases
to resist the temptation,чинити опір спокусі,General
wade in,втрутитися (енергійно взятися за щось/увійти у воду),Phrases
can quickly spiral out of control,може швидко вийти з-під контролю,Phrases
mild irritation into intense fury,легке роздратування в інтенсивну лють,Psychology
repercussions,наслідки (в негативному плані),General
vast majority,переважна більшість,General
own up,зізнатися (визнати провину),Phrases
No one owned up to breaking a window,ніхто не зізнався що розбив вікно,Phrases
Unless the guilty person owns up the whole class will be punished,якщо винний не зізнається весь клас буде покараний,Phrases
upon,відразу після (в момент),General
impervious,невразливий (нечутливий),General
combat,боротися (протистояти),General
the vast majority of users are unaware,переважна більшість користувачів не знають,General
change the idea,змінити ідею,General
resist the idea,чинити опір ідеї,General
influence enemy,впливати на ворога,Social Issues
wade in with an opinion,втрутитися зі своєю думкою,Phrases
wade in with criticism,втрутитися з критикою,Phrases
uninvited,незапрошений,General
unleash creativity,дати волю творчості,General
unleash emotions,дати волю емоціям,Psychology
unleash violence,розв'язати насильство,Social Issues
unleash potential,розкрити потенціал,General
engage in discussion,брати участь в обговоренні,General
engage in activities,брати участь у заходах,General
engage in battle,вступити в бій,Social Issues
engage a specialist,залучити фахівця,Work
engage attention,привернути увагу,General
repercussions for everyone,наслідки для кожного,General
unintended repercussions,непередбачені наслідки,General
face repercussions,зіткнутися з наслідками,General
long-term repercussions,довгострокові наслідки,General
impervious to pain,невразливий до болю,Psychology
impervious to criticism,несприйнятливий до критики,Psychology
spiral out of debts,вийти з боргів (або влізти в борги залежно від контексту але тут скоріше про вихід з-під контролю),Finance
spiral out of addiction,вирватися з залежності,Psychology
spiral out of control,вийти з-під контролю,General
trying to find something worthwhile,намагатися знайти щось варте уваги,General
to bond,зблизитися (через спільні інтереси),General
to expand your mind,розширювати свій кругозір,General
to expose us to think,спонукати нас задуматися (підштовхувати до думок),General
credible,надійний (достовірний),General
barely credible,ледь правдоподібний (майже неймовірний),General
to contrast,порівнювати (з метою підкреслити відмінності),General
contrasting,те що виділяється на фоні іншого,General
He was exposed as a fraud,його було викрито як шахрая,General
Backlash,сильна негативна реакція,Social Issues
pervasive,всепроникний,General
call out,публічно вказувати на щось помилкове (викликати на розмову),Social Issues
polarised society,поляризоване суспільство,Sociology
deemed acceptable,вважається прийнятним,Social Issues
far too sensitive,надто чутливий,Psychology
say something off-color,сказати щось недоречне або образливе,Communication
hold accountable,нести відповідальність,Leadership
accelerate the process,прискорити процес,General
act with impunity,діяти безкарно,Social Issues
develop mob mentality,ставати частиною натовпу (розвивати стадний менталітет),Sociology
it comes down,головне полягає в тому,General
equitable,справедливий (рівноправний),General
reckon,вважати (припускати),General
reckon it's racial,вважати що це пов'язано з расовим питанням,Social Issues
swiftly,швидко,General
cultural injustices,культурні несправедливості,Social Issues
discourage,відмовляти (перешкоджати/знеохочувати),General
in the run-up,у підготовчий період (напередодні),General
find each other with,знайти один з одним,General
find ourselves at odds with each other,опинитися в конфлікті один з одним,Phrases
dissect,розбирати (детально аналізувати),General
do clashes over language,мати суперечки через мову,Social Issues
to bandage,перев'язувати (прикривати),General
off-colored joke,непристойний жарт,Communication
off-colored remark,недоречне зауваження,Communication
off-colored humor,грубий гумор,Communication
off-colored comment,недоречний коментар,Communication
raise her voice,підвищити голос,Communication
he acted with impunity for years,він роками діяв безкарно,Social Issues
impunity,безкарність,Social Issues
taking photos is effortless nowadays,зараз фотографувати стало дуже легко,General
in the spotlight,у центрі уваги,General
ask for consent,запитувати згоди/згоду,Social Issues
with phone cameras at our fingertips,коли камери у нас під рукою,General
be mindful of,звертати увагу на,General
snapping away,клацати (фотографувати) без зупинки,General
ethical considerations,етичні міркування,Social Issues
it's frowned upon in most cultures,це засуджується в більшості культур,Social Issues
being inquisitive,бути допитливим,General
raising awareness of social issues,підвищення обізнаності про соціальні проблеми,Social Issues
impoverished,збіднілий,Sociology
a fundamental rule,базове правило,General
undermine the situation's seriousness,применшувати серйозність ситуації,General
cross an ethical line,перейти етичну межу,Social Issues
little odd,трохи дивно,General
with all the editing tools available today,з усіма доступними сьогодні інструментами редагування,General
compelling images,вражаючі зображення,General
snap away pictures,фотографувати без зупинки,General
without second thought,не замислюючись,General
go overboard,переборщити,General
cash in on something,нажитися на чомусь,Business
escapism,втеча від реальності,Psychology
the lowdown,інфо (суть),General
slippery slope,слизький шлях,Idioms
inadequacy,недостатність,Psychology
feeling of inadequacy,почуття меншовартості,Psychology
immerse ourselves in the pursuit of aesthetic perfection,занурюватися в гонитву за естетичною досконалістю,Success
embrace self-acceptance,прийняти себе,Psychology
pat on the back,похвала,General
boost self-esteem,підвищити самооцінку,Psychology
social media-driven society,суспільство кероване соцмережами,Sociology
seek validation,шукати схвалення,Psychology
capture moment of happiness,зафіксувати момент щастя,General
ultimate control,повний контроль,General
pursuit of aesthetic perfection,гонитва за естетичною досконалістю,Success
self-care at its finest,найкращий догляд за собою,Well-being
embrace self-acceptance,прийняти себе,Psychology
navigate selfie culture,орієнтуватися в культурі селфі,Sociology
conform to social beauty standard,відповідати соціальним стандартам краси,Sociology
set healthy boundaries,встановити здорові межі,General
make impression on somebody,справити враження на когось,General
the older I get the less I care about...,чим старше я стаю тим менше мене хвилює...,Personal
authentic,справжній,General
authenticity,справжність,General
entice into,спонукати до,General
stand out from the crowd,виділятися з натовпу,Success
frowned upon,засуджується,Social Issues
flawless,бездоганний,General
cash in on our insecurities,заробляти на наших комплексах,Business
frugal person,ощадлива людина,Personality
conform to beauty standards,відповідати стандартам краси,Sociology
look down on you,дивитися зверхньо на вас,Social Issues
important to me in a way,важливо для мене певним чином,Personal
to project a certain kind of image,створювати певний образ,Success
mildly conscious of the kind of image,трохи усвідомлювати який образ маєш,Psychology
you're making a first impression,ви створюєте перше враження,General
have the sense of belonging,мати відчуття належності,Psychology
it's what's underneath that matters,важливо те що всередині,Life Lessons
that the key thing,це головна річ,General
image is of relative importance to me,образ має відносне значення для мене,Personal
put together and polished,охайний і доглянутий,General
maintain good social record,підтримувати добру репутацію,Social Issues
stay true to yourself and act on your values,бути вірним собі і діяти відповідно до своїх цінностей,Life Lessons
happiness trump-success,щастя переважає успіх,Success
take agency over,взяти відповідальність над/мати вплив на,Personal
pillars,стовпи (основи/опори),General
families from different walks of life,сім'ї з різних прошарків суспільства,Sociology
bond that we all share,зв'язок який ми всі поділяємо,General
profound reason,глибока причина,General
the root of all problems/evil,корінь усіх проблем/зла,General
own your essence,бути собою (володіти своєю сутністю),Personal
the level of contentment,рівень задоволеності/умиротворення,Psychology
faith into smth transcendent,віра у щось надзвичайне,Psychology
it all boils down to,все зводиться до,General
go overboard,переборщити,General
tremendous relief,величезне полегшення,General
profound,серйоний (значний),General
on the grind,у важкій щоденній роботі,Work
relentless,невпинний (безжальний),General
always more to strive for,завжди є до чого прагнути,Success
comes at the expense of,відбувається за рахунок/коштує чогось,General
go-getters,цілеспрямовані люди,Personality
go above and beyond,робити більше ніж очікується,Work
enables,робить можливим/дозволяє,General
taking agency over,брати відповідальність/контроль,Personal
inevitably lead to burnout,неминуче призводить до вигорання,Psychology
take a toll on,негативно позначатися на,General
in favour of work,на користь роботи,Work
anxiety-inducing,той що викликає тривогу,Psychology
hamster wheel,біг у колесі,Idioms
devoted to,відданий чомусь,General
for it's own sake,заради самого себе,General
addressing the hustle culture,висвітлення культури поспіху,Social Issues
wounds inflicted,завдані рани,General
broaden,розширювати,General
contemplation,роздуми (спостереження),Psychology
throwaway comment,необдумана репліка,Communication
come with a lot of distress,супроводжуватися великим занепокоєнням/стражданням,Psychology
commonplace,звичайна річ/буденність,General
reach each milestone,досягати кожного етапу,Success
to contend with,мати справу з/боротися з,General
not-enoughness,відчуття недостатності/браку,Psychology
constant race,постійна гонка,General
take a toll on us,позначитися на нас,Personal
day-to-day lives,повсякденне життя,General
nature can hold untold,природа може містити безмежне,General
inspiration,надихати,Psychology
integrity,цілісність/порядочність,Personality
perseverance,витривалість,Personality
resilience,стійкість,Personality
it will linger in mind,це залишиться в пам'яті,General
jump through hoops,пройти крізь вогонь і воду (долати великі труднощі),Idioms
humility = humble,скромність,Personality
humble person,скромна людина,Personality
modest lifestyle,скромний спосіб життя,General
space gives perspective,простір дає перспективу,Life Lessons
we really bonded over our love of hiking and outdoor adventures,ми справді зблизилися через нашу любов до походів та пригод на свіжому повітрі,Personal
throwaway comment/remark,необдумане зауваження/репліка,Communication
it was just a throwaway remark - I didn't mean for anyone to take it seriously,це була просто необдумана репліка - я не хотів щоб хтось сприймав це серйозно,Communication
have a change of heart,змінити свою думку (передумати),Phrases
reach my decision,прийти до рішення,General
have second thoughts,мати сумніви,Psychology
making decision on impulse,прийняття рішення під впливом імпульсу,General
assess all possible outcomes,оцінити всі можливі результати,General
sleep on it,відкласти рішення до ранку (переспати з думкою),Idioms
think better of a decision,передумати (змінити рішення на краще),Phrases
indecision,нерішучість,Personality
in a split second,в одну мить (за секунду),General
torn between,розриватися між (двома варіантами),Phrases
indecisive,нерішучий,Personality
have a dilemma,мати дилему,General
unconventional/unorthodox,нестандартний/нетрадиційний,General
the job is steady and provides security,робота стабільна і дає відчуття безпеки,Success
I've been in a committed relationship,я перебував у серйозних стосунках,Personal
take my mind off work,відволіктися від роботи,Work
I can't let my guard down,я не можу втрачати пильність,Phrases
make up my mind,вирішити (прийняти рішення),Phrases
immense,величезний (колосальний),General
it's easy to assume,легко припустити,General
drop out of uni,кинути університет,Education
my mind was made up,я вже все вирішив,Phrases
give it a try,спробувати,Phrases
the strain on their faces,напруга на їхніх обличчях,General
the guilt I felt was immense,почуття провини яке я відчував було величезним,Psychology
I stuck to my guns,я наполіг на своєму (залишився при своїй думці),Phrases
I knew in my heart,я відчував серцем,Psychology
a weight lifted off your shoulders,гора з плечей,Idioms
appeal to the logic,апелювати до логіки,General
get on board with the decision,погодитися з рішенням,Phrases
mind-boggling,приголомшливий,General
I was blown away,я був вражений,General
captivating film,захоплюючий фільм,Media
gripping film,напружений (захоплюючий) фільм,Media
it deserves all the praise it gets,це заслуговує на всю ту похвалу яку отримує,Success
the last scene was profound,остання сцена була глибокою,Media
final shots just blew me away,останні кадри просто вразили мене,Media
emotionally drained,емоційно виснажений,Psychology
average movie,середній (звичайний) фільм,Media
the film's thought-provoking narrative,наратив фільму що змушує задуматися,Media
superb performance by the cast,чудова гра акторів,Media
leave a lasting impression,залишити тривале враження,General
witnessing history firsthand,стати свідком історії на власні очі,General
it's fair to highlight the spectacular performance,справедливо відзначити вражаючий виступ,Media
sensational,сенсаційний (неймовірний),Media
captivating view/plot/landscape/movie/performance,захоплюючий вид/сюжет/пейзаж/фільм/виступ,Media
snooze fest,нудне видовище,Idioms
pre-sail,переваги (або попередній продаж залежно від контексту але тут скоріше про переваги),General
crass,грубий,General
crude,грубий (необроблений),General
mediocre,посередній,General
disposable,одноразовий,General
financial security,фінансова безпека,Finance
financial cushion,фінансова подушка,Finance
instant gratification,миттєве задоволення,Psychology
financial challenges,фінансові труднощі,Finance
expenditure,витрати,Finance
put aside money,відкладати гроші,Finance
essentials,необхідні речі,General
allowance,кишенькові гроші,Finance
stingy,скупий,Personality
steady job,стабільна робота,Work
frugal,ощадливий,Personality
splashing out,розтринькувати гроші,Finance
blow salary,спустити зарплату,Finance
overdraft at the bank,перевищення кредиту в банку,Finance
extravagant,марнотратний,Personality
spendthrift,марнотрат,Personality
stingy,скупий,Personality
discounted clothes,одяг зі знижкою,General
overpriced,занадто дорогий,Finance
cost-effective,економічно вигідний,Finance
economical,економний,General
pricey brands,дорогі бренди,Finance
complimentary tickets,безкоштовні квитки,General
lavish,розкішний (марнотратний),General
lavish spending/gifts,розкішні витрати/подарунки,General
it was liberating in a way,це було певною мірою звільненням,Psychology
raise the bar,підняти планку,Success
take money out of the equation,прибрати гроші з рівняння (не враховувати гроші),General
communicate your boundaries assertively,чітко і впевнено озвучувати свої межі,Communication
values misaligned with...,цінності не збігаються з...,Life Lessons
fine line between,тонка межа між,Phrases
compromise your boundaries,поступатися своїми межами,General
byproduct of workplace culture,побічний продукт робочої культури,Work
shift the customer service paradigm again,знову змінити парадигму обслуговування клієнтів,Business
adversarial exercises focused on deriving value,ворожі вправи спрямовані на отримання вигоди,Business
nuance,нюанс,General
rigid politic,жорстка політика,General
the equation,рівняння (усе картина ситуація),General
misalignment of expectations,невідповідність очікуваності,General
invent product malfunctions,несправності продукту,Business
avail themselves of actual deals,скористатися реальними пропозиціями,Business
shoehorn,вставити (запхати),General
shoehorn a feature into a product,втиснути функцію у продукт,Business
cursory interactions with...,поверхневі взаємодії з...,Communication
communicate your boundaries assertively,чітко і впевнено озвучувати свої межі,Communication
don't offer refunds under any circumstances,не пропонуємо повернення грошей за жодних обставин,Business
appointment is canceled,зустріч скасовано,General
do smth out of paranoia,робити щось через параною,Psychology
surveillance,стеження/нагляд,Sociology
curfew,комендантська година,Sociology
social unrest,соціальні заворушення,Sociology
greed,жадібність,Personality
turned a blind eye,закривати очі/удавати що не бачиш,Idioms
oppression,пригнічення/утиски,Sociology
serenity,спокій/безтурботність,Psychology
justice,справедливість,Sociology
tranquility,спокій/умиротворення,Psychology
innocence,невинність,General
idealism,ідеалізм,Philosophy
deprived of essentials,позбавлений необхідного,Sociology
adversarial,ворожий/конфліктний/опозиційний,General
live off,жити за рахунок чогось/когось,General
havoc,хаос/розруха/спустошення,General
abundant,достаток/добробут,General
out of curiosity,з цікавості,Psychology
gain a power,здобути силу,Success
contribute to society,робити внесок у суспільство,Sociology
under constant surveillance,під постійним наглядом,Sociology
there is a fine line between,тонка межа між,Phrases
to clear my thoughts,прояснити думки,Psychology
he is on edge,він на взводі/нервує/він дуже напружений,Psychology
he can't let his guard down,він не може розслабитися/він не може втрачати пильність,Phrases
intimidating,лякаючий/загрозливий,Psychology
it is far from being good,це далеко не добре,General
to cash in on other,нажитися на інших,Business
evade responsibility,уникати відповідальності,Social Issues
deliver to a higher standard,відповідати вищим стандартам,Success
seductive,звабливий/вабливий,Personality
take the bigger kick,мати сильніші емоції/більший драйв,Psychology
breadwinners,годувальники (родини),Sociology
confronted with the fact,зіткнутися з фактом/визнати факт,General
malignant side,злісна/лиха сторона,General
inherently liberating,спочатку визвольний/той що вивільняє,Psychology
to shatter that illusion,руйнувати ту ілюзію,General
take at face value,сприймати за чисту монету,Phrases
women were generally limited to,жінки зазвичай були обмежені,Sociology
relentless advocacy,наполеглива адвокація/постійний захист,Social Issues
prevalent,поширений/загальноприйнятий,General
pursue higher education,здобувати вищу освіту,Education
transformed dramatically,кардинально змінився,General
as the ultimate goal,як кінцева мета,Success
medical advances,медичні досягнення,Science
are empowering us to make informed decisions,надають нам можливість ухвалювати обґрунтовані рішення,Psychology
strides made,досягнутий значний прогрес,Success
seismic shift,значна зміна/зсув,General
shattered the silence on gender inequality and harassment,зруйнували мовчання щодо гендерної нерівності та домагань,Social Issues
gain substantial legal rights,здобути суттєві юр. права,Social Issues
equitable law,справедливі/рівноправні закони,Sociology
occupy more significant positions,обіймати більш значущі посади,Success
representing diverse perspective,представляти різноманітні погляди,Sociology
has declined globally,зменшився у світовому масштабі,General
women persist globally,жінки залишаються глобальною силою,Sociology
bear the brunt of brutality,зазнавати основного тягаря жорстокості,Social Issues
stigma,стигма/суспільна відраза/тавро,Sociology
lack of accurate information,брак достовірної інформації,General
in advancing women's rights,у просуванні прав жінок,Social Issues
setbacks,відступи/перешкоди/регрес,General
to advocate,відстоювати/захищати (права/ідеї),Social Issues
action to ensure equality,дії для забезпечення рівності,Social Issues
